InstitutionID,DeptOfEdInstitutionID,InstitutionName,InstitutionAddress,InstitutionCity,InstitutionState,StateProvinceID,InstitutionZip,InstitutionPhone,InstitutionOPEID,InstitutionIPEDSUnitID,InstitutionURL,CountryID,CreatedDate,UpdatedDate,ModifiedBy
1,100016,Community College of the Air Force,130 W Maxwell Blvd,Montgomery,AL,23,36112-6613,334-953-6436,"01230800",100636,www.maxwell.af.mil/au/ccaf/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
2,100025,Alabama A & M University,4900 Meridian St,Normal,AL,23,35762,256-372-5000,"00100200",100654,www.aamu.edu/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
3,100034,University of Alabama at Birmingham,1530 3rd Avenue South,Birmingham,AL,23,35294-0110,205-934-4011,"00105200",100663,www.uab.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
4,100043,Amridge University,1200 Taylor Rd,Montgomery,AL,23,36117-3553,334-387-3877-100,"02503400",100690,www.amridgeuniversity.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
5,100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,23,35899,256-824-6120,"00105500",100706,www.uah.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
6,100061,Alabama State University,915 S Jackson Street,Montgomery,AL,23,36104,334-229-4400,"00100500",100724,www.alasu.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
7,100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,23,35487-0100,205-348-6010,"00105100",100751,www.ua.edu/,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
8,100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,23,35010,256-234-6346,"00100700",100760,www.cacc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
9,100104,Athens State University,300 N Beaty St,Athens,AL,23,35611,256-233-8100,"00100800",100812,www.athens.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
10,100113,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,23,36117-3596,334-244-3000,"00831000",100830,www.aum.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
11,100122,Auburn University Main Campus,0,Auburn University,AL,23,36849,334-844-4000,"00100900",100858,www.auburn.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
12,100140,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,23,35254,205-226-4600,"00101200",100937,www.bsc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
13,100168,Chattahoochee Valley Community College,2602 College Dr,Phenix City,AL,23,36869,334-291-4900,"01218200",101028,www.cv.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
14,100177,Concordia College Alabama,1804 Green Street,Selma,AL,23,36701,334-874-5700-100,"01055400",101073,www.concordiaselma.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
15,100195,South University-Montgomery,5355 Vaughn Road,Montgomery,AL,23,36116-1120,334-395-8800,"01303906",101116,southuniversity.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
16,100201,DCH Regional Medical Center,809 University Blvd.. East,Tuscaloosa,AL,23,35401,,,101125,www.dchsystem.com,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
17,100210,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,23,36330-1300,334-347-2623,"00101500",101143,www.escc.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
18,100229,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,23,36507-2698,251-580-2100,"00106000",101161,www.faulknerstate.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
19,100238,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,23,36109-3378,334-272-5820,"00100300",101189,www.faulkner.edu,1,2012-04-13 00:00:00,2012-04-13 00:00:00,jd
